Slump flow diameter (cm),V-Funnel flow time (s),L-Box H2/H1 ratio,Yield Stress (Pa)
65,22,0.8,40.2
66,21,0.82,39.2
65,22,0.8,40.1
64,23,0.8,40.2
63,23,0.8,40.4
66,18,0.84,34.3
67,19,0.84,33.2
66,18,0.84,34.2
65,22,0.84,38.6
67,19,0.84,33.8
68,14,0.89,24.4
69,14,0.89,26.1
70,13,0.92,23.4
68,14,0.89,24.4
67,19,0.89,33.8
74,11,0.9,22.8
75,11,0.9,21.9
75,11,0.9,21.7
76,10,0.9,21.2
76,10,0.9,21.3
78,9,0.92,14.3
79,8,0.92,14.2
79,8,0.92,14.2
77,10,0.9,14.8
78,9,0.92,14.3
82,8,0.96,6.8
83,8,0.96,6.6
82,8,0.96,6.7
81,8,0.96,6.8
83,8,0.96,6.8
84,8,1,4.6
85,7,1,4.3
85,8,1,4.3
86,7,1,4.8
86,7,1,4.1
86,7,1,2.2
87,7,1,2.1
88,7,1,2.2
88,7,1,2.6
87,7,1,2.1
66.26,13,0.88,15.3
65.26,14,0.84,17.6
60.84,19,0.8,31.8
60.2,27,0.78,44.2
56.56,31,0.68,60.7
55.66,42,0.55,87.6
52.4,60,0.5,98.6
66.82,15,0.84,20.6
67.3,14,0.86,18.6
68,14,0.88,18.2
70.1,13,0.9,16.3
72.5,13,0.9,14.3
66.82,14,0.81,17.61
64.84,14,0.8,18.58
62.64,23,0.75,38.7
61.24,25,0.7,40.12
58.36,28,0.68,53.15
66,22,0.8,39.6
65,23,0.8,40.1
64,22,0.8,40.1
67,19,0.82,33.4
66,18,0.82,34.6
65,22,0.8,38.4
70,14,0.88,23.2
68,14,0.88,24.6
67,19,0.88,33.4
70,14,0.84,24.1
74,10,0.88,22.4
75,11,0.88,21.6
76,10,0.88,21.4
78,9,0.88,14.6
79,9,0.9,14.2
77,10,0.9,14.4
82,8,0.96,6.7
81,8,0.94,6.6
83,8,0.98,6.6
84,8,1,4.4
85,7,1,4.4
86,7,1,4.2
86,7,1,4.2
87,7,1,2.4
88,7,1,2.4
60,26,0.8,44
64,15,0.84,18
58,31,0.7,61.2
65,14,0.86,17.3
57,43,0.55,88
67,14,0.86,19
68,13,0.88,18.6
54,60,0.52,97.8
70,13,0.9,16.5
73,13,0.94,14.6
76,11,0.96,13
70,13,0.9,17.2
65,14,0.82,19.1
63,23,0.8,40.3
61,26,0.76,41
60,27,0.72,54
66.8,16,0.84,24.3
68.8,11,0.89,14.4
74.6,9,0.9,12.8
78.4,9,0.92,10.3
82.9,8,1,0.8
84.8,8,1,0.6
86.8,8,1,0.2
68.8,11,0.89,15.25
69.2,12,0.88,13.12
70.2,11,0.89,16.5
65.4,10,0.89,12.6
67.6,11,0.9,13.8
67.9,13,0.86,15.9
72.8,14,0.84,17.2
65.3,10,0.84,16.1
66.2,11,0.86,15.4
67,12,0.85,16.2
68.5,14,0.8,18.9
69,14,0.8,17.4
63.2,14,0.82,18.05
63.4,15,0.82,17.02
70,13,0.81,16.7
65.3,16,0.81,18.6
67,13,0.8,18.2
63.1,13,0.8,21.3
65,14,0.79,18.2
63.8,14,0.8,16.6
63.8,20,0.76,40.2
67.1,24,0.76,39.4
60.8,24,0.73,37.1
58.9,24,0.74,38.8
62.6,23,0.76,38
62.8,25,0.7,40
60,25,0.71,41.5
63.1,24,0.7,40.6
60.2,26,0.7,39.7
60.1,25,0.69,38.8
60,30,0.7,50.2
57.2,28,0.68,52.05
58.2,26,0.66,54.5
58.4,29,0.69,54.2
58,27,0.67,54.8
64.6,15,0.9,14.75
68,14,0.88,14.1
64.8,10,0.86,16.5
66.7,12,0.87,15.3
67.2,14,0.89,15.6
63.4,16,0.85,18.2
66,14,0.83,18.3
65.3,13,0.85,17.4
66.2,14,0.83,16.8
65.4,13,0.84,17.2
61.6,22,0.8,32.2
61.8,18,0.82,31.8
59.8,18,0.79,32.2
60.2,18,0.79,31.8
60.8,19,0.8,31.4
61.8,27,0.8,47.15
60.6,26,0.77,42.8
60.2,29,0.76,42.85
58.6,24,0.8,42
59.8,29,0.77,46.2
54.6,30,0.7,60.2
55.6,31,0.66,52.5
58.4,32,0.69,61
57.8,32,0.67,63.2
56.4,30,0.68,66.6
55.6,40,0.56,88
55.4,43,0.53,87
55.8,43,0.54,88.2
56.6,42,0.56,88.35
54.9,42,0.56,86.45
