Slump flow diameter (cm),V-Funnel flow time (s),L-Box H2/H1 ratio,Yield Stress (Pa),Viscosity (Pa.s)
65,22,0.8,40.2,142.8
66,21,0.82,39.2,142.2
65,22,0.8,40.1,142.8
64,23,0.8,40.2,142.1
63,23,0.8,40.4,143.4
66,18,0.84,34.3,130.2
67,19,0.84,33.2,130.1
66,18,0.84,34.2,130.5
65,22,0.84,38.6,138.2
67,19,0.84,33.8,132.2
68,14,0.89,24.4,120.2
69,14,0.89,26.1,120.6
70,13,0.92,23.4,88.1
68,14,0.89,24.4,120.8
67,19,0.89,33.8,120.2
74,11,0.9,22.8,58.1
75,11,0.9,21.9,56.1
75,11,0.9,21.7,68.1
76,10,0.9,21.2,58.6
76,10,0.9,21.3,58.3
78,9,0.92,14.3,39.4
79,8,0.92,14.2,38.4
79,8,0.92,14.2,37.4
77,10,0.9,14.8,39.2
78,9,0.92,14.3,39.4
82,8,0.96,6.8,25.2
83,8,0.96,6.6,24.8
82,8,0.96,6.7,25.2
81,8,0.96,6.8,27.6
83,8,0.96,6.8,24.2
84,8,1,4.6,20.4
85,7,1,4.3,20.2
85,8,1,4.3,20.6
86,7,1,4.8,20.1
86,7,1,4.1,20.4
86,7,1,2.2,18.8
87,7,1,2.1,19.2
88,7,1,2.2,18.8
88,7,1,2.6,18.2
87,7,1,2.1,18.3
66.26,13,0.88,15.3,82.6
65.26,14,0.84,17.6,89.7
60.84,19,0.8,31.8,123.8
60.2,27,0.78,44.2,177.8
56.56,31,0.68,60.7,188.1
55.66,42,0.55,87.6,192.5
52.4,60,0.5,98.6,198.8
66.82,15,0.84,20.6,87.1
67.3,14,0.86,18.6,82.8
68,14,0.88,18.2,79.9
70.1,13,0.9,16.3,76.8
72.5,13,0.9,14.3,75.2
66.82,14,0.81,17.61,89.1
64.84,14,0.8,18.58,108.53
62.64,23,0.75,38.7,146.82
61.24,25,0.7,40.12,160.27
58.36,28,0.68,53.15,181.1
66,22,0.8,39.6,142.4
65,23,0.8,40.1,142.6
64,22,0.8,40.1,142.3
67,19,0.82,33.4,130.3
66,18,0.82,34.6,130.3
65,22,0.8,38.4,138.4
70,14,0.88,23.2,79.8
68,14,0.88,24.6,119.5
67,19,0.88,33.4,120.4
70,14,0.84,24.1,80.8
74,10,0.88,22.4,57.9
75,11,0.88,21.6,57.1
76,10,0.88,21.4,58.2
78,9,0.88,14.6,38.8
79,9,0.9,14.2,38.6
