D,t,PA,mu,tau
65,22,0.8,142.8,40.2
66,21,0.82,142.2,39.2
65,22,0.8,142.8,40.1
64,23,0.8,142.1,40.2
63,23,0.8,143.4,40.4
66,18,0.84,130.2,34.3
67,19,0.84,130.1,33.2
66,18,0.84,130.5,34.2
65,22,0.84,138.2,38.6
67,19,0.84,132.2,33.8
68,14,0.89,120.2,24.4
69,14,0.89,120.6,26.1
70,13,0.92,88.1,23.4
68,14,0.89,120.8,24.4
67,19,0.89,120.2,33.8
74,11,0.9,58.1,22.8
75,11,0.9,56.1,21.9
75,11,0.9,68.1,21.7
76,10,0.9,58.6,21.2
76,10,0.9,58.3,21.3
78,9,0.92,39.4,14.3
79,8,0.92,38.4,14.2
79,8,0.92,37.4,14.2
77,10,0.9,39.2,14.8
78,9,0.92,39.4,14.3
82,8,0.96,25.2,6.8
83,8,0.96,24.8,6.6
82,8,0.96,25.2,6.7
81,8,0.96,27.6,6.8
83,8,0.96,24.2,6.8
84,8,1,20.4,4.6
85,7,1,20.2,4.3
85,8,1,20.6,4.3
86,7,1,20.1,4.8
86,7,1,20.4,4.1
86,7,1,18.8,2.2
87,7,1,19.2,2.1
88,7,1,18.8,2.2
88,7,1,18.2,2.6
87,7,1,18.3,2.1
66.26,13,0.88,82.6,15.3
65.26,14,0.84,89.7,17.6
60.84,19,0.8,123.8,31.8
60.2,27,0.78,177.8,44.2
56.56,31,0.68,188.1,60.7
55.66,42,0.55,192.5,87.6
52.4,60,0.5,198.8,98.6
66.82,15,0.84,87.1,20.6
67.3,14,0.86,82.8,18.6
68,14,0.88,79.9,18.2
70.1,13,0.9,76.8,16.3
72.5,13,0.9,75.2,14.3
66.82,14,0.81,89.1,17.61
64.84,14,0.8,108.53,18.58
62.64,23,0.75,146.82,38.7
61.24,25,0.7,160.27,40.12
58.36,28,0.68,181.1,53.15
66,22,0.8,142.4,39.6
65,23,0.8,142.6,40.1
64,22,0.8,142.3,40.1
67,19,0.82,130.3,33.4
66,18,0.82,130.3,34.6
65,22,0.8,138.4,38.4
70,14,0.88,79.8,23.2
68,14,0.88,119.5,24.6
67,19,0.88,120.4,33.4
70,14,0.84,80.8,24.1
74,10,0.88,57.9,22.4
75,11,0.88,57.1,21.6
76,10,0.88,58.2,21.4
78,9,0.88,38.8,14.6
79,9,0.9,38.6,14.2
77,10,0.9,39.5,14.4
82,8,0.96,25.4,6.7
81,8,0.94,25.1,6.6
83,8,0.98,24.8,6.6
84,8,1,20.6,4.4
85,7,1,20.4,4.4
86,7,1,20.2,4.2
86,7,1,20,4.2
87,7,1,18.9,2.4
88,7,1,18.6,2.4
60,26,0.8,178,44
64,15,0.84,91,18
58,31,0.7,186,61.2
65,14,0.86,88.8,17.3
57,43,0.55,193,88
67,14,0.86,83,19
68,13,0.88,80,18.6
54,60,0.52,196.6,97.8
70,13,0.9,78,16.5
73,13,0.94,75,14.6
76,11,0.96,61,13
70,13,0.9,75.6,17.2
65,14,0.82,106.9,19.1
63,23,0.8,147.2,40.3
61,26,0.76,162,41
60,27,0.72,182,54
66.8,16,0.84,90.2,24.3
68.8,11,0.89,40.2,14.4
74.6,9,0.9,48.1,12.8
78.4,9,0.92,39.4,10.3
82.9,8,1,25.2,0.8
84.8,8,1,20.4,0.6
86.8,8,1,18.8,0.2
68.8,11,0.89,40.2,15.25
69.2,12,0.88,40.8,13.12
70.2,11,0.89,42.3,16.5
65.4,10,0.89,35.8,12.6
67.6,11,0.9,38.1,13.8
67.9,13,0.86,48.2,15.9
72.8,14,0.84,48,17.2
65.3,10,0.84,42.8,16.1
66.2,11,0.86,44.55,15.4
67,12,0.85,46.85,16.2
68.5,14,0.8,90.2,18.9
69,14,0.8,81.9,17.4
63.2,14,0.82,93.2,18.05
63.4,15,0.82,89.8,17.02
70,13,0.81,90.4,16.7
65.3,16,0.81,106.8,18.6
67,13,0.8,109,18.2
63.1,13,0.8,105.8,21.3
65,14,0.79,110.25,18.2
63.8,14,0.8,110.8,16.6
63.8,20,0.76,144,40.2
67.1,24,0.76,151.8,39.4
60.8,24,0.73,144.53,37.1
58.9,24,0.74,146.75,38.8
62.6,23,0.76,147,38
62.8,25,0.7,159.1,40
60,25,0.71,154.5,41.5
63.1,24,0.7,160.7,40.6
60.2,26,0.7,162.35,39.7
60.1,25,0.69,164.7,38.8
60,30,0.7,180.2,50.2
57.2,28,0.68,183.5,52.05
58.2,26,0.66,181.2,54.5
58.4,29,0.69,179.2,54.2
58,27,0.67,181.4,54.8
64.6,15,0.9,70.2,14.75
68,14,0.88,72.1,14.1
64.8,10,0.86,73.1,16.5
66.7,12,0.87,73.5,15.3
67.2,14,0.89,74.2,15.6
63.4,16,0.85,88.05,18.2
66,14,0.83,98.08,18.3
65.3,13,0.85,82.25,17.4
66.2,14,0.83,94.1,16.8
65.4,13,0.84,86.1,17.2
61.6,22,0.8,130.2,32.2
61.8,18,0.82,116.75,31.8
59.8,18,0.79,123.5,32.2
60.2,18,0.79,117.8,31.8
60.8,19,0.8,131,31.4
61.8,27,0.8,175.3,47.15
60.6,26,0.77,177.4,42.8
60.2,29,0.76,178.3,42.85
58.6,24,0.8,177.8,42
59.8,29,0.77,180.2,46.2
54.6,30,0.7,200.9,60.2
55.6,31,0.66,214.6,52.5
58.4,32,0.69,197.1,61
57.8,32,0.67,209.4,63.2
56.4,30,0.68,218.5,66.6
55.6,40,0.56,274.65,88
55.4,43,0.53,295.3,87
55.8,43,0.54,296.3,88.2
56.6,42,0.56,288.6,88.35
54.9,42,0.56,287.9,86.45
